Filename                                                                Regions    Missed_Regions     Regions_Cover   Functions  Missed_Functions  Executed       Lines      Missed_Lines     Lines_Cover    Branches   Missed_Branches     Branches_Cover
lib/Backend/Opnd.h                                                         1531               887    42.06%         200                46    77.00%         640               158    75.31%         488               259    46.93%
lib/Backend/Opnd.inl                                                        477               326    31.66%          64                20    68.75%         249                83    66.67%         122                77    36.89%
lib/Backend/PDataManager.cpp                                                  4                 0   100.00%           2                 0   100.00%           7                 0   100.00%           0                 0         -
lib/Backend/Peeps.cpp                                                      1033               465    54.99%          15                 2    86.67%         892               229    74.33%         632               262    58.54%
lib/Backend/Peeps.h                                                           1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/PreLowerPeeps.cpp                                               445               365    17.98%           5                 0   100.00%         331               248    25.08%         212               174    17.92%
lib/Backend/PrologEncoder.cpp                                               101                66    34.65%           7                 0   100.00%          72                 9    87.50%          30                16    46.67%
lib/Backend/PrologEncoder.h                                                   6                 1    83.33%           6                 1    83.33%           6                 1    83.33%           0                 0         -
lib/Backend/QueuedFullJitWorkItem.cpp                                        19                13    31.58%           2                 1    50.00%           6                 3    50.00%           4                 3    25.00%
lib/Backend/Region.cpp                                                      117                43    63.25%           5                 1    80.00%          75                14    81.33%          48                20    58.33%
lib/Backend/Region.h                                                         27                 2    92.59%          19                 2    89.47%          32                 2    93.75%           8                 0   100.00%
lib/Backend/SccLiveness.cpp                                                1037               470    54.68%          21                 3    85.71%         697               112    83.93%         454               170    62.56%
lib/Backend/SccLiveness.h                                                     7                 0   100.00%           2                 0   100.00%           4                 0   100.00%           0                 0         -
lib/Backend/Security.cpp                                                    471               228    51.59%          13                 0   100.00%         444               112    74.77%         248               103    58.47%
lib/Backend/Security.h                                                       10                 0   100.00%           3                 0   100.00%          16                 0   100.00%           8                 0   100.00%
lib/Backend/SimpleJitProfilingHelpers.cpp                                   248               140    43.55%          28                17    39.29%         184                53    71.20%          56                26    53.57%
lib/Backend/SimpleLayout.cpp                                                 70                 2    97.14%           2                 0   100.00%         110                 3    97.27%          50                 6    88.00%
lib/Backend/SimpleLayout.h                                                    1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/SwitchIRBuilder.cpp                                             638               620     2.82%          28                27     3.57%         546               531     2.75%         270               264     2.22%
lib/Backend/SwitchIRBuilder.h                                                 3                 1    66.67%           3                 1    66.67%           3                 1    66.67%           0                 0         -
lib/Backend/Sym.cpp                                                        1872              1398    25.32%          59                15    74.58%         848               408    51.89%         598               466    22.07%
lib/Backend/Sym.h                                                           151                84    44.37%          51                22    56.86%          51                22    56.86%          32                17    46.88%
lib/Backend/Sym.inl                                                          97                60    38.14%           9                 0   100.00%          35                 0   100.00%          22                15    31.82%
lib/Backend/SymTable.cpp                                                    231               118    48.92%          14                 1    92.86%         130                10    92.31%          66                31    53.03%
lib/Backend/SymTable.h                                                        4                 1    75.00%           4                 1    75.00%           5                 1    80.00%           0                 0         -
lib/Backend/TempTracker.cpp                                                1470              1011    31.22%          59                21    64.41%        1239               622    49.80%         770               463    39.87%
lib/Backend/TempTracker.h                                                    56                46    17.86%          19                 9    52.63%          19                 9    52.63%           4                 4     0.00%
lib/Backend/ValueInfo.cpp                                                  1072               563    47.48%          49                 6    87.76%         574               139    75.78%         458               194    57.64%
lib/Backend/ValueInfo.h                                                     468               252    46.15%          65                18    72.31%         198                43    78.28%         108                62    42.59%
lib/Backend/ValueRelativeOffset.cpp                                         314               194    38.22%          13                 0   100.00%          58                 1    98.28%          76                50    34.21%
lib/Backend/ValueRelativeOffset.h                                             1                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
lib/Backend/amd64/EncoderMD.cpp                                            2625              1624    38.13%          39                 1    97.44%        1395               388    72.19%        1148               606    47.21%
lib/Backend/amd64/EncoderMD.h                                               247               138    44.13%          20                 1    95.00%          90                13    85.56%          78                43    44.87%
lib/Backend/amd64/LinearScanMD.cpp                                          458               238    48.03%          13                 0   100.00%         327                83    74.62%         190                92    51.58%
lib/Backend/amd64/LinearScanMD.h                                              5                 0   100.00%           5                 0   100.00%           7                 0   100.00%           0                 0         -
lib/Backend/amd64/LowererMDArch.cpp                                        2422              1570    35.18%          74                31    58.11%        2153               862    59.96%        1102               627    43.10%
lib/Backend/amd64/LowererMDArch.h                                            34                13    61.76%           9                 1    88.89%          27                 1    96.30%          10                 4    60.00%
lib/Backend/amd64/PeepsMD.cpp                                               269                35    86.99%           3                 0   100.00%          89                 3    96.63%          64                17    73.44%
lib/Backend/amd64/PeepsMD.h                                                   1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/amd64/PrologEncoderMD.cpp                                       419               346    17.42%           6                 3    50.00%          70                39    44.29%         120                94    21.67%
lib/Common/BackendApi.h                                                       8                 2    75.00%           5                 2    60.00%          16                 2    87.50%           2                 0   100.00%
lib/Common/Codex/Utf8Codex.cpp                                              242               127    47.52%          20                 8    60.00%         370               195    47.30%         190               125    34.21%
lib/Common/Codex/Utf8Codex.h                                                 82                46    43.90%          23                11    52.17%         158                87    44.94%          34                24    29.41%
lib/Common/Codex/Utf8Helper.h                                               168                76    54.76%          23                 3    86.96%         186                57    69.35%          54                24    55.56%
lib/Common/Common/DateUtilities.cpp                                         131               131     0.00%           9                 9     0.00%         148               148     0.00%          68                68     0.00%
lib/Common/Common/Event.cpp                                                  17                15    11.76%           2                 1    50.00%          10                 7    30.00%           8                 7    12.50%
lib/Common/Common/Event.h                                                     6                 2    66.67%           6                 2    66.67%          17                 5    70.59%           0                 0         -
lib/Common/Common/Int32Math.cpp                                               6                 2    66.67%           6                 2    66.67%          30                 9    70.00%           0                 0         -
lib/Common/Common/Int32Math.h                                                 2                 0   100.00%           2                 0   100.00%           6                 0   100.00%           0                 0         -
lib/Common/Common/Int64Math.cpp                                               4                 4     0.00%           4                 4     0.00%          17                17     0.00%           0                 0         -
lib/Common/Common/IntMathCommon.h                                            81                60    25.93%          10                 3    70.00%          54                26    51.85%          26                20    23.08%
lib/Common/Common/Jobs.cpp                                                 1687              1209    28.33%          88                36    59.09%        1017               437    57.03%         492               367    25.41%
lib/Common/Common/Jobs.h                                                     17                 6    64.71%           6                 1    83.33%          22                 8    63.64%           8                 4    50.00%
lib/Common/Common/Jobs.inl                                                 1095               962    12.15%          12                 8    33.33%         348               264    24.14%         332               300     9.64%
lib/Common/Common/MathUtil.cpp                                                7                 1    85.71%           3                 1    66.67%          23                 3    86.96%           0                 0         -
lib/Common/Common/MathUtil.h                                                 70                29    58.57%          20                 2    90.00%          75                13    82.67%          20                 9    55.00%
lib/Common/Common/NumberUtilities.cpp                                       679               403    40.65%          17                 2    88.24%         516               235    54.46%         328               213    35.06%
lib/Common/Common/NumberUtilities.h                                          78                78     0.00%           5                 5     0.00%          76                76     0.00%          42                42     0.00%
lib/Common/Common/NumberUtilities.inl                                        14                 4    71.43%          12                 4    66.67%          54                16    70.37%           4                 0   100.00%
lib/Common/Common/NumberUtilities_strtod.cpp                               3984              2326    41.62%          30                 4    86.67%        1917               469    75.53%        1588               822    48.24%
lib/Common/Common/ObservableValue.h                                           8                 0   100.00%           4                 0   100.00%          15                 0   100.00%           4                 1    75.00%
lib/Common/Common/RejitReason.cpp                                            19                19     0.00%           1                 1     0.00%           5                 5     0.00%           4                 4     0.00%
lib/Common/Common/SmartFpuControl.cpp                                        76                52    31.58%           7                 1    85.71%          66                25    62.12%          18                13    27.78%
lib/Common/Common/SmartFpuControl.h                                          25                25     0.00%           2                 2     0.00%           7                 7     0.00%           6                 6     0.00%
lib/Common/Common/ThreadService.h                                             6                 1    83.33%           4                 1    75.00%          14                 6    57.14%           4                 2    50.00%
lib/Common/Common/Tick.cpp                                                  409               404     1.22%          45                44     2.22%         221               212     4.07%         106               105     0.94%
lib/Common/Common/Tick.h                                                      3                 0   100.00%           1                 0   100.00%           7                 0   100.00%           2                 1    50.00%
lib/Common/Common/UInt16Math.h                                               18                 8    55.56%          10                 3    70.00%          52                26    50.00%           6                 4    33.33%
lib/Common/Common/UInt32Math.h                                               35                 6    82.86%          14                 0   100.00%          76                12    84.21%          12                 4    66.67%
lib/Common/Common/vtinfo.cpp                                                 31                21    32.26%           2                 1    50.00%          19                10    47.37%           8                 6    25.00%
lib/Common/Common/vtinfo.h                                                   27                14    48.15%           9                 2    77.78%          13                 2    84.62%           4                 3    25.00%
lib/Common/Common/vtinfo.inl                                                  4                 0   100.00%           2                 0   100.00%          16                 0   100.00%           0                 0         -
lib/Common/CommonPal.h                                                       55                22    60.00%          21                 4    80.95%         149                37    75.17%          18                10    44.44%
