Filename                                                                Regions    Missed_Regions     Regions_Cover   Functions  Missed_Functions  Executed       Lines      Missed_Lines     Lines_Cover    Branches   Missed_Branches     Branches_Cover
lib/Backend/amd64/LinearScanMD.h                                              5                 0   100.00%           5                 0   100.00%           7                 0   100.00%           0                 0         -
lib/Backend/amd64/LowererMDArch.cpp                                        2422              1475    39.10%          74                21    71.62%        2153               708    67.12%        1102               585    46.91%
lib/Backend/amd64/LowererMDArch.h                                            34                13    61.76%           9                 1    88.89%          27                 1    96.30%          10                 4    60.00%
lib/Backend/amd64/PeepsMD.cpp                                               269                34    87.36%           3                 0   100.00%          89                 0   100.00%          64                17    73.44%
lib/Backend/amd64/PeepsMD.h                                                   1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/amd64/PrologEncoderMD.cpp                                       419               346    17.42%           6                 3    50.00%          70                39    44.29%         120                94    21.67%
lib/Common/BackendApi.h                                                       8                 2    75.00%           5                 2    60.00%          16                 2    87.50%           2                 0   100.00%
lib/Common/Codex/Utf8Codex.cpp                                              242               100    58.68%          20                 7    65.00%         370               145    60.81%         190               107    43.68%
lib/Common/Codex/Utf8Codex.h                                                 82                45    45.12%          23                10    56.52%         158                86    45.57%          34                24    29.41%
lib/Common/Codex/Utf8Helper.h                                               168                76    54.76%          23                 3    86.96%         186                57    69.35%          54                24    55.56%
lib/Common/Common/DateUtilities.cpp                                         131                44    66.41%           9                 3    66.67%         148                28    81.08%          68                15    77.94%
lib/Common/Common/Event.cpp                                                  17                15    11.76%           2                 1    50.00%          10                 7    30.00%           8                 7    12.50%
lib/Common/Common/Event.h                                                     6                 2    66.67%           6                 2    66.67%          17                 5    70.59%           0                 0         -
lib/Common/Common/Int32Math.cpp                                               6                 2    66.67%           6                 2    66.67%          30                 9    70.00%           0                 0         -
lib/Common/Common/Int32Math.h                                                 2                 1    50.00%           2                 1    50.00%           6                 3    50.00%           0                 0         -
lib/Common/Common/Int64Math.cpp                                               4                 3    25.00%           4                 3    25.00%          17                13    23.53%           0                 0         -
lib/Common/Common/IntMathCommon.h                                            81                39    51.85%          10                 0   100.00%          54                 6    88.89%          26                13    50.00%
lib/Common/Common/Jobs.cpp                                                 1687              1242    26.38%          88                37    57.95%        1017               469    53.88%         492               378    23.17%
lib/Common/Common/Jobs.h                                                     17                 6    64.71%           6                 1    83.33%          22                 8    63.64%           8                 4    50.00%
lib/Common/Common/Jobs.inl                                                 1095               962    12.15%          12                 8    33.33%         348               264    24.14%         332               300     9.64%
lib/Common/Common/MathUtil.cpp                                                7                 1    85.71%           3                 1    66.67%          23                 3    86.96%           0                 0         -
lib/Common/Common/MathUtil.h                                                 70                29    58.57%          20                 2    90.00%          75                13    82.67%          20                 9    55.00%
lib/Common/Common/NumberUtilities.cpp                                       679               411    39.47%          17                 3    82.35%         516               253    50.97%         328               219    33.23%
lib/Common/Common/NumberUtilities.h                                          78                55    29.49%           5                 3    40.00%          76                43    43.42%          42                30    28.57%
lib/Common/Common/NumberUtilities.inl                                        14                 5    64.29%          12                 5    58.33%          54                20    62.96%           4                 0   100.00%
lib/Common/Common/NumberUtilities_strtod.cpp                               3984              2413    39.43%          30                 4    86.67%        1917               616    67.87%        1588               915    42.38%
lib/Common/Common/ObservableValue.h                                           8                 0   100.00%           4                 0   100.00%          15                 0   100.00%           4                 1    75.00%
lib/Common/Common/RejitReason.cpp                                            19                19     0.00%           1                 1     0.00%           5                 5     0.00%           4                 4     0.00%
lib/Common/Common/SmartFpuControl.cpp                                        76                52    31.58%           7                 1    85.71%          66                25    62.12%          18                13    27.78%
lib/Common/Common/SmartFpuControl.h                                          25                25     0.00%           2                 2     0.00%           7                 7     0.00%           6                 6     0.00%
lib/Common/Common/ThreadService.h                                             6                 1    83.33%           4                 1    75.00%          14                 6    57.14%           4                 2    50.00%
lib/Common/Common/Tick.cpp                                                  409               391     4.40%          45                36    20.00%         221               176    20.36%         106               104     1.89%
lib/Common/Common/Tick.h                                                      3                 0   100.00%           1                 0   100.00%           7                 0   100.00%           2                 1    50.00%
lib/Common/Common/UInt16Math.h                                               18                 4    77.78%          10                 1    90.00%          52                18    65.38%           6                 3    50.00%
lib/Common/Common/UInt32Math.h                                               35                 6    82.86%          14                 0   100.00%          76                15    80.26%          12                 5    58.33%
lib/Common/Common/vtinfo.cpp                                                 31                21    32.26%           2                 1    50.00%          19                10    47.37%           8                 6    25.00%
lib/Common/Common/vtinfo.h                                                   27                14    48.15%           9                 2    77.78%          13                 2    84.62%           4                 3    25.00%
lib/Common/Common/vtinfo.inl                                                  4                 0   100.00%           2                 0   100.00%          16                 0   100.00%           0                 0         -
lib/Common/CommonPal.h                                                       55                21    61.82%          21                 4    80.95%         149                37    75.17%          18                 9    50.00%
