Filename                                                                Regions    Missed_Regions     Regions_Cover   Functions  Missed_Functions  Executed       Lines      Missed_Lines     Lines_Cover    Branches   Missed_Branches     Branches_Cover
lib/Backend/JITTimePolymorphicInlineCacheInfo.cpp                            91                40    56.04%           6                 1    83.33%          67                 6    91.04%          26                10    61.54%
lib/Backend/JITTimeProfileInfo.cpp                                          601               273    54.58%          63                 7    88.89%         422                37    91.23%         192               104    45.83%
lib/Backend/JITTimeWorkItem.cpp                                             257               176    31.52%          20                 1    95.00%         112                20    82.14%          74                54    27.03%
lib/Backend/JITType.cpp                                                      60                20    66.67%          20                 3    85.00%          88                11    87.50%          28                13    53.57%
lib/Backend/JITType.h                                                         2                 0   100.00%           2                 0   100.00%           2                 0   100.00%           0                 0         -
lib/Backend/JITTypeHandler.cpp                                               54                31    42.59%           9                 2    77.78%          39                10    74.36%          18                12    33.33%
lib/Backend/JavascriptNativeOperators.cpp                                   446               322    27.80%          27                22    18.52%         327               220    32.72%         152                98    35.53%
lib/Backend/JavascriptNativeOperators.h                                      77                77     0.00%           9                 9     0.00%          73                73     0.00%          24                24     0.00%
lib/Backend/JitTransferData.cpp                                              82                43    47.56%           5                 1    80.00%          88                35    60.23%          40                23    42.50%
lib/Backend/JitTransferData.h                                                19                 3    84.21%          13                 2    84.62%          27                 5    81.48%           4                 1    75.00%
lib/Backend/JnHelperMethod.cpp                                             8197              4969    39.38%          11                 4    63.64%         223               169    24.22%        1714              1286    24.97%
lib/Backend/Lifetime.h                                                      184                95    48.37%           7                 0   100.00%          82                 4    95.12%          56                23    58.93%
lib/Backend/LinearScan.cpp                                                 6660              3824    42.58%         114                20    82.46%        3796              1013    73.31%        2506              1274    49.16%
lib/Backend/LinearScan.h                                                      5                 1    80.00%           5                 1    80.00%           7                 1    85.71%           0                 0         -
lib/Backend/LinearScanMDShared.h                                              1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/Lower.cpp                                                     27565             19639    28.75%         533               220    58.72%       19526             10014    48.71%       11116              7331    34.05%
lib/Backend/Lower.h                                                          17                 5    70.59%          10                 2    80.00%          35                 4    88.57%           8                 6    25.00%
lib/Backend/LowerMDShared.cpp                                              8221              5850    28.84%         170                58    65.88%        5086              2203    56.69%        3232              2108    34.78%
lib/Backend/LowerMDShared.h                                                  18                 9    50.00%          18                 9    50.00%          25                13    48.00%           0                 0         -
lib/Backend/LowerMDSharedSimd128.cpp                                       9537              7379    22.63%          52                51     1.92%        2398              2251     6.13%        2730              2586     5.27%
lib/Backend/NativeCodeData.cpp                                              328               282    14.02%          15                 7    53.33%         228               154    32.46%          94                82    12.77%
lib/Backend/NativeCodeData.h                                                 67                56    16.42%          16                 8    50.00%          79                50    36.71%          20                17    15.00%
lib/Backend/NativeCodeGenerator.cpp                                        3818              2482    34.99%          79                28    64.56%        2794              1338    52.11%        1566              1075    31.35%
lib/Backend/NativeCodeGenerator.h                                           116                75    35.34%          19                 8    57.89%          87                41    52.87%          32                23    28.12%
lib/Backend/NativeEntryPointData.cpp                                        990               725    26.77%          45                19    57.78%         376               122    67.55%         256               181    29.30%
lib/Backend/NativeEntryPointData.h                                           22                 6    72.73%          19                 3    84.21%          19                 3    84.21%           2                 2     0.00%
lib/Backend/ObjTypeSpecFldInfo.cpp                                         1601               983    38.60%          56                16    71.43%         901               381    57.71%         608               401    34.05%
lib/Backend/ObjTypeSpecFldInfo.h                                             76                49    35.53%          13                 5    61.54%         102                32    68.63%          32                20    37.50%
lib/Backend/Opnd.cpp                                                       3591              2677    25.45%         183                71    61.20%        2560              1576    38.44%        1464              1101    24.80%
lib/Backend/Opnd.h                                                         1531               910    40.56%         200                51    74.50%         640               180    71.88%         488               273    44.06%
lib/Backend/Opnd.inl                                                        477               326    31.66%          64                20    68.75%         249                83    66.67%         122                77    36.89%
lib/Backend/PDataManager.cpp                                                  4                 0   100.00%           2                 0   100.00%           7                 0   100.00%           0                 0         -
lib/Backend/Peeps.cpp                                                      1033               468    54.70%          15                 2    86.67%         892               242    72.87%         632               256    59.49%
lib/Backend/Peeps.h                                                           1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/PreLowerPeeps.cpp                                               445               306    31.24%           5                 0   100.00%         331               205    38.07%         212               152    28.30%
